date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking_date,home_rank,home_ranking_points,away_ranking_date,away_rank,away_ranking_points,rank_diff,points_diff,home_win,draw
2021-03-31,England,Poland,2,1,FIFA World Cup qualification,London,England,False,2021-02-18,4,1670.0,2021-02-18,19,1559.0,15,111.0,1,0
2021-03-31,Germany,North Macedonia,1,2,FIFA World Cup qualification,Duisburg,Germany,False,2021-02-18,13,1610.0,2021-02-18,65,1362.0,52,248.0,0,0
2021-03-31,Scotland,Faroe Islands,4,0,FIFA World Cup qualification,Glasgow,Scotland,False,2021-02-18,48,1436.0,2021-02-18,107,1183.0,59,253.0,1,0
2021-03-31,Spain,Kosovo,3,1,FIFA World Cup qualification,Seville,Spain,False,2021-02-18,6,1645.0,2021-02-18,117,1155.0,111,490.0,1,0
2021-03-31,Sweden,Estonia,1,0,Friendly,Stockholm,Sweden,False,2021-02-18,20,1558.0,2021-02-18,108,1180.0,88,378.0,1,0
2021-03-31,Switzerland,Finland,3,2,Friendly,St. Gallen,Switzerland,False,2021-02-18,16,1593.0,2021-02-18,55,1411.0,39,182.0,1,0
2021-05-24,Iraq,Tajikistan,0,0,Friendly,Basra,Iraq,False,2021-04-07,68.0,1352.82,2021-04-07,121.0,1151.1,53.0,201.72000000000003,0,1
2021-05-24,United Arab Emirates,Jordan,5,1,Friendly,Dubai,United Arab Emirates,False,2021-04-07,73.0,1330.16,2021-04-07,95,1251.63,22.0,78.52999999999997,1,0
2021-05-27,Turkey,Azerbaijan,2,1,Friendly,Alanya,Turkey,False,,,,2021-05-27,110,1168.53,,,1,0
2021-05-28,Japan,Myanmar,10,0,FIFA World Cup qualification,Chiba,Japan,False,2021-05-27,28,1509.34,2021-05-27,139,1081.26,111,428.0799999999999,1,0
2021-05-29,Iraq,Nepal,6,2,Friendly,Basra,Iraq,False,2021-05-27,68.0,1352.82,2021-05-27,171,967.88,103.0,384.93999999999994,1,0
2021-05-29,Mexico,Iceland,2,1,Friendly,Arlington,United States,True,2021-05-27,11,1629.56,2021-05-27,52,1415.99,41,213.56999999999994,1,0
2021-05-29,Sweden,Finland,2,0,Friendly,Stockholm,Sweden,False,2021-05-27,18,1569.81,2021-05-27,54,1410.82,36,158.99,1,0
2021-05-30,Switzerland,United States,2,1,Friendly,St. Gallen,Switzerland,False,2021-05-27,13,1606.21,2021-05-27,20,1555.42,7,50.789999999999964,1,0
2021-05-31,Jordan,Vietnam,1,1,Friendly,Sharjah,United Arab Emirates,True,2021-05-27,95.0,1251.63,2021-05-27,92,1258.06,-3.0,-6.429999999999836,0,1
2021-05-31,Turkey,Guinea,0,0,Friendly,Antalya,Turkey,False,,,,2021-05-27,72,1331.79,,,0,1
2021-06-01,Croatia,Armenia,1,1,Friendly,Velika Gorica,Croatia,False,2021-05-27,14,1605.75,2021-05-27,90,1273.28,76,332.47,0,1
2021-06-02,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Sarajevo,Bosnia and Herzegovina,False,2021-05-27,55,1404.87,2021-05-27,64,1368.49,9,36.37999999999988,0,1
2021-06-02,England,Austria,1,0,Friendly,London,England,False,2021-05-27,4,1686.78,2021-05-27,23,1523.42,19,163.3599999999999,1,0
2021-06-02,France,Wales,3,0,Friendly,Nice,France,False,2021-05-27,2,1757.3,2021-05-27,17,1570.36,15,186.94000000000005,1,0
2021-06-02,Germany,Denmark,1,1,Friendly,Innsbruck,Austria,True,2021-05-27,12,1609.12,2021-05-27,10,1631.55,-2,-22.430000000000064,0,1
2021-06-02,Netherlands,Scotland,2,2,Friendly,São João da Venda,Portugal,True,2021-05-27,16,1598.04,2021-05-27,44,1441.43,28,156.6099999999999,0,1
2021-06-02,Norway,Luxembourg,1,0,Friendly,Málaga,Spain,True,2021-05-27,42,1452.34,2021-05-27,96,1244.86,54,207.48000000000002,1,0
